protocol,target_city,target,comparison_budget,n_calibration,n_eval,calibration_anchor_ids,mae,rmse,r2,spearman,kendall,design_regret_kwh_m2,top_recovery
zero_shot_absolute_aligned_3shot,Canakkale,heating,3,0,997,base_0948|base_0945|base_0724,4.259541017029975,5.342647462966999,0.9420284950076049,0.9887263136682909,0.9184863828433092,0.0,0.94
zero_shot_absolute_aligned_3shot,Canakkale,cooling,3,0,997,base_0948|base_0945|base_0724,12.780060274343812,12.82175379127892,-0.10153831909791133,0.9980189621185066,0.9659218619714567,0.0,0.98
zero_shot_absolute_aligned_3shot,Canakkale,total,3,0,997,base_0948|base_0945|base_0724,15.183810116192886,15.79982742075482,0.3511271854549526,0.9778665498874878,0.8744748301128287,1.6226949999999931,0.94
3_shot_global_bias,Canakkale,heating,3,3,997,base_0948|base_0945|base_0724,4.149952848473651,4.823903644641611,0.9527394482096357,0.9887263136682909,0.9184863828433092,0.0,0.94
3_shot_global_bias,Canakkale,cooling,3,3,997,base_0948|base_0945|base_0724,0.8211170025771382,1.1110275882036964,0.9917290683942012,0.9980189621185066,0.9659218619714567,0.0,0.98
3_shot_global_bias,Canakkale,total,3,3,997,base_0948|base_0945|base_0724,3.702708830322409,4.379388426152499,0.9501480873679717,0.9778665498874878,0.8744748301128287,1.6226949999999931,0.94
3_shot_raw_relative,Canakkale,heating,3,3,997,base_0948|base_0945|base_0724,3.7957953446418937,5.7534785945277145,0.9327700880435699,0.9983556313966893,0.9677748103748999,0.6405760000000029,0.92
3_shot_raw_relative,Canakkale,cooling,3,3,997,base_0948|base_0945|base_0724,0.6962978644591159,1.0092312056492776,0.9931752604167061,0.998960858721225,0.9741553979206699,0.0,0.98
3_shot_raw_relative,Canakkale,total,3,3,997,base_0948|base_0945|base_0724,3.406793565280585,5.414452470361494,0.9237984186372316,0.9895329201744357,0.9186112554531064,3.4860510000000033,0.7
zero_shot_absolute,Hatay,heating,0,0,1000,,5.667464896261864,6.612294193471051,0.7863194486943055,0.9877639357639358,0.9118158158158158,0.3305550000000004,0.94
zero_shot_absolute,Hatay,cooling,0,0,1000,,59.88611010790548,59.99468798782651,-11.153390537348885,0.9851376011376012,0.894910910910911,0.0,0.76
zero_shot_absolute,Hatay,total,0,0,1000,,54.22183257929663,54.44216289500464,-8.213540244641838,0.9609884769884769,0.8339419419419419,1.5962959999999953,0.8
zero_shot_absolute_aligned_1shot,Hatay,heating,1,0,999,base_0948,5.672976101171823,6.615600842372389,0.7863039590769736,0.9878225881191812,0.9120001765292347,0.3305550000000004,0.94
zero_shot_absolute_aligned_1shot,Hatay,cooling,1,0,999,base_0948,59.890132903849995,59.99867722447232,-11.152154066039481,0.9851562584628715,0.8949691174140073,0.0,0.76
zero_shot_absolute_aligned_1shot,Hatay,total,1,0,999,base_0948,54.22035487575276,54.440891227202705,-8.214160347382984,0.9608975428334146,0.8337816774690523,1.5962959999999953,0.8
1_shot_global_bias,Hatay,heating,1,1,999,base_0948,5.513132829204098,6.4775327712790505,0.795130585498267,0.9878225881191812,0.9120001765292347,0.3305550000000004,0.94
1_shot_global_bias,Hatay,cooling,1,1,999,base_0948,4.392416501271124,5.403344950754126,0.9014412235691355,0.9851562584628715,0.8949691174140073,0.0,0.76
1_shot_global_bias,Hatay,total,1,1,999,base_0948,4.157354861198846,5.115623730724588,0.9186415811206011,0.9608975428334146,0.8337816774690523,1.5962959999999953,0.8
1_shot_raw_relative,Hatay,heating,1,1,999,base_0948,2.26133627958293,2.8452375273893766,0.9604729006813659,0.9919110894461594,0.9296892082463226,0.4893470000000004,0.84
1_shot_raw_relative,Hatay,cooling,1,1,999,base_0948,2.4791322604584685,3.2709093167102963,0.9638833946882642,0.9983046573627734,0.9644614554434194,0.44499199999999917,0.9
1_shot_raw_relative,Hatay,total,1,1,999,base_0948,2.9657379603403458,3.8346222820703235,0.9542858660744572,0.9790223931346175,0.8817775691523188,0.1543230000000051,0.92
zero_shot_absolute_aligned_3shot,Hatay,heating,3,0,997,base_0948|base_0945|base_0724,5.668366957825685,6.607051279517704,0.7872039361761451,0.9879289097463578,0.9123555405171339,0.3305550000000004,0.94
